created_at,entry_id,humidity,drection,press,temperature,speed
2021/6/12 5:10,102,88,1,100510,26.5,2.1
2021/6/12 5:45,103,90,0,100553,25.6,0.3
2021/6/12 6:21,104,89,1,100588,25.7,1.1
2021/6/12 6:56,105,90,0,100654,25.5,0.6
2021/6/12 7:31,106,82,4,100613,29.3,0.5
2021/6/12 8:07,107,82,2,100652,28.7,1.4
2021/6/12 8:42,108,85,2,100701,27.5,0.3
2021/6/12 9:53,109,77,1,100685,31.1,1.3
2021/6/12 10:28,110,85,5,100715,28.2,0.7
2021/6/12 11:03,111,86,7,100739,27.6,0.5
2021/6/12 11:38,112,86,1,100731,27,1.7
2021/6/12 12:14,113,85,1,100706,27.2,1.1
2021/6/12 12:49,114,84,0,100676,27.7,1.5
2021/6/12 13:24,115,78,3,100605,29.2,1.7
2021/6/12 14:00,116,72,0,100584,30.1,1.5
2021/6/12 14:35,117,76,3,100568,29.5,0.8
2021/6/12 15:10,118,76,0,100568,29.6,0.7
2021/6/12 15:45,119,81,2,100553,28.7,0
2021/6/12 16:21,120,79,1,100534,29,1
2021/6/12 16:56,121,77,0,100535,29.5,2
2021/6/12 17:31,122,86,2,100567,27.8,0.3
2021/6/12 18:07,123,88,2,100586,27,1.1
2021/6/12 18:42,124,88,0,100577,26.5,0.8
2021/6/12 19:17,125,86,1,100619,26.5,0.7
2021/6/12 19:53,126,84,1,100672,26.7,0.5
2021/6/12 20:28,127,84,3,100706,26.6,0.3
2021/6/12 21:03,128,86,2,100735,26.2,1.3
2021/6/12 21:38,129,86,2,100807,26.2,0.7
2021/6/12 22:14,130,86,3,100825,26.3,0.7
2021/6/12 22:49,131,86,2,100836,26.5,0.2
2021/6/12 23:24,132,86,2,100847,26.3,0.3
2021/6/13 0:00,133,88,6,100829,26.2,0
2021/6/13 0:35,134,88,3,100855,26.2,0.2
2021/6/13 1:10,135,89,1,100788,26.1,0.4
2021/6/13 1:46,136,89,1,100798,26,0.4
2021/6/13 2:21,137,89,2,100768,25.8,0.4
2021/6/13 2:56,138,88,2,100722,26,0.2
2021/6/13 3:31,139,88,2,100730,25.7,1.4
2021/6/13 4:07,140,88,1,100730,25.6,0.5
2021/6/13 4:42,141,89,1,100749,25.6,0.2
2021/6/13 5:17,142,89,0,100758,25.7,2.3
2021/6/13 5:53,143,89,2,100756,25.6,0
2021/6/13 6:28,144,89,1,100762,25.7,1
2021/6/13 7:03,145,89,0,100804,26.2,0.8
2021/6/13 7:39,146,84,2,100838,28.8,1.4
2021/6/13 8:14,147,74,2,100813,31.3,0.4
2021/6/13 8:49,148,72,5,100788,31.7,0.4
2021/6/13 9:24,149,72,1,100789,31.5,0.7
2021/6/13 10:00,150,77,2,100797,29.8,1.9
2021/6/13 10:35,151,72,0,100785,30.3,0.9
